symbol,lastPrice,volume,openPrice,highPrice,lowPrice
AERGOBUSD,0.10030000,130941.00000000,0.10090000,0.10280000,0.10020000
LINKEUR,7.08100000,23462.60000000,6.97400000,7.42000000,6.96000000
ONEBUSD,0.00930000,48597709.70000000,0.00917000,0.00969000,0.00915000
EASYETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
AUDIOBTC,0.00000510,208964.40000000,0.00000529,0.00000531,0.00000492
AUDIOBUSD,0.15270000,88644.70000000,0.15110000,0.15410000,0.14990000
AUDIOUSDT,0.14280000,10680600.20000000,0.14250000,0.14900000,0.14040000
CTKBNB,0.00207500,3946.00000000,0.00208600,0.00209700,0.00205700
CTKBTC,0.00001571,34438.70000000,0.00001621,0.00001627,0.00001517
CTKBUSD,0.53400000,51677.30000000,0.56700000,0.56700000,0.51700000
CTKUSDT,0.44000000,1062102.10000000,0.43600000,0.45400000,0.43400000
BCHUPUSDT,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
BCHDOWNUSDT,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
BOTBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
BOTBUSD,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
ETHBRL,8032.89000000,868.10790000,7974.07000000,8287.99000000,7954.62000000
DOTEUR,3.57500000,66608.87000000,3.56500000,3.71800000,3.55200000
AKROBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
AKROUSDT,0.00640000,645060491.00000000,0.00655000,0.00675000,0.00630000
KP3RBNB,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
KP3RBUSD,45.39000000,426.06000000,45.42000000,46.29000000,44.86000000
AXSBNB,0.02020000,2806.95000000,0.02044000,0.02060000,0.02016000
AXSBTC,0.00015300,22733.15000000,0.00015840,0.00015960,0.00014760
AXSBUSD,4.30000000,31314.77000000,4.27000000,4.44000000,4.26000000
AXSUSDT,4.30000000,555211.75000000,4.26000000,4.45000000,4.26000000
HARDBNB,0.00051700,12336.00000000,0.00052500,0.00052700,0.00051700
HARDBTC,0.00000393,164534.00000000,0.00000408,0.00000412,0.00000380
HARDBUSD,0.10980000,74777.00000000,0.10940000,0.11330000,0.10840000
HARDUSDT,0.11030000,1619355.00000000,0.10900000,0.11370000,0.10870000
BNBBRL,1082.00000000,1971.51700000,1073.00000000,1105.00000000,1070.00000000
LTCEUR,60.45000000,10537.87200000,58.68000000,62.95000000,58.49000000
RENBTCBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
RENBTCETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
DNTBUSD,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
DNTUSDT,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
SLPETH,0.00000086,7211804.00000000,0.00000087,0.00000088,0.00000086
ADAEUR,0.23800000,763708.80000000,0.23460000,0.24590000,0.23440000
LTCNGN,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
CVPETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
CVPBUSD,0.30600000,51633.40000000,0.30350000,0.31070000,0.30110000
STRAXBTC,0.00003825,2755058.90000000,0.00003308,0.00004458,0.00003255
STRAXETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
STRAXBUSD,0.47100000,15330.90000000,0.47100000,0.47500000,0.46300000
STRAXUSDT,1.07500000,83872031.20000000,0.88800000,1.21800000,0.87900000
FORBTC,0.00000062,2423968.00000000,0.00000065,0.00000065,0.00000060
FORBUSD,0.01703000,553742.40000000,0.01720000,0.01750000,0.01686000
UNFIBNB,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
UNFIBTC,0.00024090,22587.50000000,0.00024400,0.00026290,0.00023270
UNFIBUSD,6.78000000,32517.60000000,6.56600000,7.20700000,6.43700000
UNFIUSDT,6.75100000,1390220.40000000,6.56700000,7.21600000,6.43000000
FRONTETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
FRONTBUSD,0.29890000,388028.00000000,0.30160000,0.31190000,0.29570000
BCHABUSD,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
ROSEBTC,0.00000147,1820339.00000000,0.00000150,0.00000153,0.00000143
ROSEBUSD,0.04139000,2853866.00000000,0.04037000,0.04300000,0.04035000
ROSEUSDT,0.04132000,66797234.20000000,0.04039000,0.04314000,0.04032000
AVAXTRY,261.80000000,152255.02000000,257.00000000,275.00000000,256.00000000
BUSDBRL,5.08800000,294993.40000000,5.13100000,5.13400000,5.03700000
AVAUSDT,0.44400000,674316.10000000,0.43300000,0.46200000,0.43300000
SYSBUSD,0.08300000,320514.00000000,0.08220000,0.08520000,0.08180000
XEMUSDT,0.02582000,35974357.00000000,0.02560000,0.02682000,0.02549000
HEGICETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
HEGICBUSD,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
AAVEUPUSDT,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
AAVEDOWNUSDT,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PROMBNB,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PROMBUSD,4.05900000,18252.55000000,3.99100000,4.16300000,3.97100000
XRPBRL,2.51300000,185708.00000000,2.49600000,2.57300000,2.48000000
XRPNGN,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
SKLBTC,0.00000077,1306663.00000000,0.00000081,0.00000081,0.00000075
SKLBUSD,0.02150000,2354350.00000000,0.02416000,0.02435000,0.01909000
SKLUSDT,0.02150000,32211710.00000000,0.02183000,0.02255000,0.02130000
BCHEUR,216.80000000,806.51300000,203.50000000,238.30000000,203.10000000
YFIEUR,4835.00000000,0.11140000,4842.00000000,4842.00000000,4783.00000000
ZILBIDR,253.40,536739.00000000,250.40,256.00,248.70
SUSDBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
SUSDETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
SUSDUSDT,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
COVERETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
COVERBUSD,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
GLMBTC,0.00000649,203096.00000000,0.00000664,0.00000667,0.00000617
GLMETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
GHSTETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
GHSTBUSD,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
SUSHIUPUSDT,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
SUSHIDOWNUSDT,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
XLMUPUSDT,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
XLMDOWNUSDT,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
LINKBRL,38.02000000,13477.31000000,37.55000000,39.50000000,37.46000000
LINKNGN,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
LTCRUB,6281.80000000,1145.72900000,6064.10000000,6545.90000000,6062.10000000
TRXTRY,2.48510000,16666472.00000000,2.40710000,2.53600000,2.40560000
